           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
   12684.442948 [0001]  gfx[850]                            0.076      0.006      0.006 
   12684.442952 [0000]  Xorg[1087]                          0.033      0.004      0.100 
   12684.442959 [0001]  <idle>                              0.006      0.000      0.011 
   12684.442962 [0004]  Xorg:cs0[1091/1087]                 0.095      0.004      0.015 
   12684.442962 [0000]  <idle>                              0.100      0.000      0.010 
   12684.442979 [0001]  gfx[850]                            0.011      0.003      0.019 
   12684.443036 [0004]  <idle>                              0.015      0.000      0.074 
   12684.443041 [0000]  Xorg[1087]                          0.010      0.003      0.078 
   12684.443049 [0001]  <idle>                              0.019      0.000      0.070 
   12684.443050 [0004]  Xorg:cs0[1091/1087]                 0.074      0.003      0.013 
   12684.443051 [0000]  <idle>                              0.078      0.000      0.010 
   12684.443063 [0001]  gfx[850]                            0.070      0.005      0.013 
   12684.443121 [0001]  <idle>                              0.013      0.000      0.058 
   12684.443125 [0004]  <idle>                              0.013      0.000      0.074 
   12684.443128 [0001]  gfx[850]                            0.058      0.005      0.006 
   12684.443133 [0000]  Xorg[1087]                          0.010      0.003      0.081 
   12684.443138 [0001]  <idle>                              0.006      0.000      0.010 
   12684.443141 [0004]  Xorg:cs0[1091/1087]                 0.074      0.003      0.015 
   12684.443142 [0000]  <idle>                              0.081      0.000      0.008 
   12684.443159 [0001]  gfx[850]                            0.010      0.003      0.020 
   12684.443202 [0002]  <idle>                              0.066      0.000      1.363 
   12684.443228 [0001]  <idle>                              0.020      0.000      0.069 
   12684.443234 [0001]  gfx[850]                            0.069      0.005      0.005 
   12684.443252 [0002]  budgie-wm[1560]                     1.363      0.007      0.050 
   12684.443295 [0004]  <idle>                              0.015      0.000      0.154 
   12684.443305 [0000]  Xorg[1087]                          0.008      0.003      0.163 
   12684.443320 [0001]  <idle>                              0.005      0.000      0.085 
   12684.443323 [0004]  Xorg:cs0[1091/1087]                 0.154      0.002      0.028 
   12684.443324 [0000]  <idle>                              0.163      0.000      0.019 
   12684.443337 [0001]  gfx[850]                            0.085      0.003      0.017 
   12684.443338 [0002]  <idle>                              0.050      0.000      0.085 
   12684.443354 [0000]  Xorg[1087]                          0.019      0.003      0.029 
   12684.443403 [0000]  <idle>                              0.029      0.000      0.049 
   12684.443415 [0000]  Xorg[1087]                          0.049      0.004      0.012 
